Subject ,Standard ,SKILL/TOPIC,Learning Objective,Competencies Learners should be able to:,Grade_Level
English,SPEAKING AND COMMUNICATING,Purposes of language,Learning Objective Learners will use language appropriately for a variety of purposes,inquire by asking questions to get information - use the simple present tense to ask who  what  when and why questions,One
English,SPEAKING AND COMMUNICATING,Purposes of language,Learning Objective Learners will use language appropriately for a variety of purposes,answer questions using simplesentences and correct languagestructure- construct Yes/No questions answers and negativestatements  e.g. Do you like sweets? Yes  I like sweets No  I don’t like sweets,One
English,SPEAKING AND COMMUNICATING,Planning and presenting information,Learning Objective Learners will plan and present information,prepare and present daily news showing who  what  when and where  e.g. Dad and I (who) went to the village (where) last week (when) and brought back a bag of melees. (what),One
English,READING AND VIEWING,Perception skills,Learning Objective Learners will demonstrate perception skills,demonstrate visual perception:- visual discrimination- visual sequencing- figure-ground differentiation- form consistency- visual memory- visual analysis and synthesis,One
English,READING AND VIEWING,Perception skills,Learning Objective Learners will demonstrate perception skills,demonstrate auditory perception:- auditory discrimination- auditory sequencing- auditory memory- auditory closure- auditory analysis andsynthesis- auditory-visual linking,One
English,READING AND VIEWING,Phonological awareness and articulation,Learning Objective: Learners will demonstrate phonological awareness and articulation,count number of words in sentences  and omit or replace words within sentences  e.g. I ran home (replace ‘ran’ with ‘jumped’).,One
English,READING AND VIEWING,Phonological awareness and articulation,Learning Objective: Learners will demonstrate phonological awareness and articulation,clap and count syllables in words,One
English,READING AND VIEWING,Phonological awareness and articulation,Learning Objective: Learners will demonstrate phonological awareness and articulation,identify rhyming words in rhymes and songs  e.g. Jack and Jill went up the hill,One
English,READING AND VIEWING,Phonological awareness and articulation,Learning Objective: Learners will demonstrate phonological awareness and articulation,identify short vowel sounds in single-syllable words  e.g. man  pen  pot  s u n,One
English,READING AND VIEWING,Phonological awareness and articulation,Learning Objective: Learners will demonstrate phonological awareness and articulation,identify long vowel sounds  e.g.moon  leaf  play  show,One
English,READING AND VIEWING,Phonological awareness and articulation,Learning Objective: Learners will demonstrate phonological awareness and articulation,identify beginning sounds(phonemes) in single-syllablewords and replace phonemes toform new words  e.g. say the word‘man’  instead of ‘m’ say ‘c’ (can),One
English,READING AND VIEWING,Phonological awareness and articulation,Learning Objective: Learners will demonstrate phonological awareness and articulation,recognise and create repetitionsof initial sounds in words  e.g.snakes swim slowly,One
English,READING AND VIEWING,Phonological awareness and articulation,Learning Objective: Learners will demonstrate phonological awareness and articulation,blend and split onsets and rimes  e.g. dog; man,One
English,READING AND VIEWING,Learners will count with and without using concrete objects and understand the need and convenience ofcounting in everyday life,Learning Objective: Learners will demonstrate understanding of the organisation and basic features of print,follow words from left-to-right  topto-bottom  and page-by-page- exercise eye muscles- recognise that print conveysmeaning  represents spokenlanguage and words areseparated by spaces- recognise own name and simplesight words  and incidentally“read” words from theirenvironment  e.g. STOP signs labels- recognise the distinguishingfeatures of a sentence  e.g.capitalised first word  endingpunctuation- identify title of book,One
English,READING AND VIEWING,Learners will count with and without using concrete objects and understand the need and convenience ofcounting in everyday life,Learning Objective: Learners will demonstrate understanding of the organisation and basic features of print,demonstrate the proper way to handle books  e.g. hold book upright  recognise front and back cover  turn pages carefully,One
English,READING AND VIEWING,Phonics,Learning Objective Learners will recall and use knowledge of phonics when reading familiar words,recognise letter names and lettersounds and the alphabetsequence- sounds and letter names of shortand long vowels- sounds and letter symbols ofconsonants- sort words by initial letter (bad bin  baby  bit)- letter names remain constant butthe sounds they represent mayvary  e.g. the ‘e’ in me  red- long ‘e’ sound  e.g. he  be  she,One
English,READING AND VIEWING,Phonics,Learning Objective Learners will recall and use knowledge of phonics when reading familiar words,read three-letter words with shortvowel sounds  e.g. c-a-t  p-e-n s-i-t  d-o-g  h-u-t,One
English,READING AND VIEWING,Phonics,Learning Objective Learners will recall and use knowledge of phonics when reading familiar words,correctly read familiar grade-levelwords beginning with two-letterblends  e.g. bl  br  dr  sm  sn  sp- sort words by blends (black  blow bless),One
English,READING AND VIEWING,Phonics,Learning Objective Learners will recall and use knowledge of phonics when reading familiar words,correctly read familiar grade-levelwords ending with two-letterblends  e.g. -nk  -nd  -st,One
English,READING AND VIEWING,Phonics,Learning Objective Learners will recall and use knowledge of phonics when reading familiar words,correctly read familiar wordscontaining grade-level consonantand vowel digraphs  e.g. /ch/  /dd/ /ee/  /ar/- sort words by same sound different spelling (see  beach  key me)- sort words by same sound  samespelling (star  far  car  shark)- play word and memory games;match and identify words to wordsand words to pictures; matchwords in sentences using charts songs  rhymes and cards,One
English,READING AND VIEWING,Phonics,Learning Objective Learners will recall and use knowledge of phonics when reading familiar words,correctly read familiar wordscontaining grade-leveldiphthongs  e.g. /ay/  /oa/(learning the term ‘diphthong’ isnot a requirement,One
English,READING AND VIEWING,Phonics,Learning Objective Learners will recall and use knowledge of phonics when reading familiar words,recall grade-level vocabulary andhigh-frequency sight words,One
English,READING AND VIEWING,Decoding strategies,Learning Objective Learners will apply decoding strategies when reading (working out the meaning of pictures and the pronunciation/meaning of unfamiliar words),make up stories from picture books  e.g. ‘read’ the book by making up a story using picture clues - look at pictures to recognise common objects and experiences,One
English,READING AND VIEWING,Decoding strategies,Learning Objective Learners will apply decoding strategies when reading (working out the meaning of pictures and the pronunciation/meaning of unfamiliar words),use knowledge of phonics whenreading unfamiliar words  e.g.sound out single letters andgrade-level blends  digraphs anddiphthongs- use onset and rime strategies e.g. b-at; m-en  s-it; d-og  s-un ,One
English,READING AND VIEWING,Comprehension strategies,Learning Objective: Learners will apply reading comprehension strategies to understand grade-level texts,apply strategies to construct meaning: - use personal experience and knowledge - use cues such as titles  headings  repetition and pictures to predict events and information in a text,One
English,READING AND VIEWING,Comprehension,Learning Objective: Learners will demonstrate comprehension by responding appropriately to fiction  non-fiction texts and visual material,read a simple story (fiction) thenretell to show understanding,One
English,READING AND VIEWING,Comprehension,Learning Objective: Learners will demonstrate comprehension by responding appropriately to fiction  non-fiction texts and visual material,read a simple story (fiction) thenrole-play to show understanding,One
English,READING AND VIEWING,Comprehension,Learning Objective: Learners will demonstrate comprehension by responding appropriately to fiction  non-fiction texts and visual material,sequence pictures and simplewritten sentences to make alogical story ,One
English,READING AND VIEWING,Comprehension,Learning Objective: Learners will demonstrate comprehension by responding appropriately to fiction  non-fiction texts and visual material,answer (orally and in writing)literal questions based on stories(fiction) and informational texts(non-fiction)  e.g. who  what andwhen questions ,One
English,READING AND VIEWING,Comprehension,Learning Objective: Learners will demonstrate comprehension by responding appropriately to fiction  non-fiction texts and visual material,answer orally and in writingsimple higher-order (inferential)questions based on texts  e.g.how and why questions,One
English,READING AND VIEWING,Reading silently and aloud,Learning Objective: Learners will read a wide range of texts silently and aloud with purpose and understanding,demonstrate the need and desire to read - page through books  discuss pictures - use the ‘reading period’ to promote an interest in reading,One
English,READING AND VIEWING,Reading silently and aloud,Learning Objective: Learners will read a wide range of texts silently and aloud with purpose and understanding,read a variety of grade-level texts (including stories  poems and own writing) silently with purpose and understanding - identify rhyming words in poems,One
English,READING AND VIEWING,Reading silently and aloud,Learning Objective: Learners will read a wide range of texts silently and aloud with purpose and understanding,read a variety of grade-level informational texts and visual material to locate and extract specific information - use picture books and ‘big books’ to find information - find information using pictographs and simple diagrams,One
English,READING AND VIEWING,Reading silently and aloud,Learning Objective: Learners will read a wide range of texts silently and aloud with purpose and understanding,read prepared grade-level texts aloud with understanding  correct pronunciation  fluency  expression  accuracy and observance of conventions  e.g. - stop at the end of a sentence,One
English,READING AND VIEWING,Reading silently and aloud,Learning Objective: Learners will read a wide range of texts silently and aloud with purpose and understanding,read unprepared grade-level readers aloud with some understanding  accuracy  fluency and expression,One
English,READING AND VIEWING,Response to literature,Learning ObjectiveLearners will respond to literature orally and in writing,identify characters and majorevents.- identify how characters aresimilar/different from people intheir own lives- discuss and express feelingsabout rhymes  songs and stories- discuss the moral of the story,One
English,WRITING,Handwriting,Learning Objective:Learners will demonstrate fluent and legible handwriting,demonstrate fine motor muscles hand/eye coordination  handdominance  grip and bodyposture  e.g.- establish dominant hand byusing scissors  brushes  pencilsand handling tiny objects- position paper appropriately- position print on a line,One
English,WRITING,Handwriting,Learning Objective:Learners will demonstrate fluent and legible handwriting,demonstrate some skill in writingrhythmically with speed usingleft-to-right  top-to-bottomorientation  e.g.- trace and copy rhythmic patternson dotted lines- copy words and numerals,One
English,WRITING,Handwriting,Learning Objective:Learners will demonstrate fluent and legible handwriting,print letters  words  sentencesand numerals neatly and legiblywith correct formation  usinguniform size and spacing- 8.5 mm lines (4 spaces),One
English,WRITING,Forms of writing,Learning Objective:Learners will write for a range of purposes using a variety of forms of writing ,demonstrate the need and adesire to write  e.g.- play writing games- show how writing and drawingare different- share own writing with others bydisplaying or reading aloud- experiment with lines  forms writing tools- experiment with writing  e.g.“write” captions for ownpicture/books; role-play “writing”for a purpose,One
English,WRITING,Forms of writing,Learning Objective:Learners will write for a range of purposes using a variety of forms of writing ,write dictation: 2 simple 4 to 5word sentences  e.g. I like mydoll. She has a green dress.- use grade-level knowledge ofgrammar  basic punctuation spelling  phonics and vocabularyto write accurately,One
English,WRITING,Forms of writing,Learning Objective:Learners will write for a range of purposes using a variety of forms of writing ,write creative stories in simplepast tense using about 5 simplesentences ,One
English,WRITING,Forms of writing,Learning Objective:Learners will write for a range of purposes using a variety of forms of writing ,write simple poems  e.g.I eat breadI eat bananasI eat mangoes Rain is wet Rain falls I like rainI saw a cat and it was very ...(Write a missing rhyming wordto complete a simple rhyme),One
English,WRITING,Forms of writing,Learning Objective:Learners will write for a range of purposes using a variety of forms of writing ,write recounts/recalls of personalexperiences in simple past tenseusing who  what and whenstatements with a beginning andsimple ending e.g. I (who) played (what) at home (where). It was fun. ,One
English,WRITING,Forms of writing,Learning Objective:Learners will write for a range of purposes using a variety of forms of writing ,write factual descriptions usingabout 4 to 5 simple sentences- describe self  familiar people animals and objects in the simplepresent tense  e.g. My dog iscalled Happy. He is brown. Heeats bones. Happy sleeps in theyard. I love him.,One
English,WRITING,Forms of writing,Learning Objective:Learners will write for a range of purposes using a variety of forms of writing ,write simple explanations to showhow things work using 3 or 4simple sentences- use the simple present tense  e.g.My toy car works when I push it.It has wheels. The wheels turnaround.,One
English,WRITING,Forms of writing,Learning Objective:Learners will write for a range of purposes using a variety of forms of writing ,write simple questions (inquire) toget information using who  what when and why- use the simple present tense  e.g.What is the name of your dog?Why is he called that? Who feedshim? When does he sleep?,One
English,WRITING,Forms of writing,Learning Objective:Learners will write for a range of purposes using a variety of forms of writing ,write cards and simple invitations- birthday cards  mother’s/father’sday cards  thank you cards andinvitations to occasions- use correct tense (simple past simple present or future),One
English,WRITING,Process to improve writing,Learning Objective: Learners will follow a process to improve their writing,produce neat and legible finalpieces of work using a writingprocess  e.g.- discuss pictures  ideas and topicsfor writing with classmates andteacher,One
English,WRITING,Process to improve writing,Learning Objective: Learners will follow a process to improve their writing,draft a piece of writing,One
English,WRITING,Process to improve writing,Learning Objective: Learners will follow a process to improve their writing,re-read and add words to improvemeaning ,One
English,WRITING,Process to improve writing,Learning Objective: Learners will follow a process to improve their writing,recognise and correct missing capitals and full stops and some spelling mistakes,One
English,WRITING,Process to improve writing,Learning Objective: Learners will follow a process to improve their writing,share writing with classmates,One
English,LANGUAGE STRUCTURE  GRAMMAR AND LANGUAGE USE,Capitals and punctuation,Learning Objective: Learners will use capitals and punctuation correctly in writing,"capitalise the first word of a sentence  the pronoun ""I""  and the names of pets and people",One
English,LANGUAGE STRUCTURE  GRAMMAR AND LANGUAGE USE,Capitals and punctuation,Learning Objective: Learners will use capitals and punctuation correctly in writing,use a full stop at the end of a sentence,One
English,LANGUAGE STRUCTURE  GRAMMAR AND LANGUAGE USE,Parts of speech,Learning Objective: Learners will identify  name and use different parts of speech correctly in speaking  reading and writing,use common and proper nouns e.g.- common nouns: chair  table  desk- proper nouns: Mrs Liinda Namibia  Karibib  Windhoek(learning the term ‘noun’ isincidental at this stage),One
English,LANGUAGE STRUCTURE  GRAMMAR AND LANGUAGE USE,Parts of speech,Learning Objective: Learners will identify  name and use different parts of speech correctly in speaking  reading and writing,use pronouns I  you  he  she  it we  they  them- avoid repetition by using anappropriate pronoun for apreviously stated noun  e.g.My dad went into the shop. Hebought some meat.,One
English,LANGUAGE STRUCTURE  GRAMMAR AND LANGUAGE USE,Parts of speech,Learning Objective: Learners will identify  name and use different parts of speech correctly in speaking  reading and writing, avoid redundancies  e.g.My sister  she ...The lion was more bigger ...(learning the term ‘pronoun’ is notnecessary at this stage),One
English,LANGUAGE STRUCTURE  GRAMMAR AND LANGUAGE USE,Parts of speech,Learning Objective: Learners will identify  name and use different parts of speech correctly in speaking  reading and writing,use possessive pronounsmy/mine  your/yours  his  her/hersThat is my shirt. That is mine.That is your house. That is yours.That is his pen. That is his.It is her dress. It is hers. (learning the term ‘possessivepronoun’ is not necessary at thisstage),One
English,LANGUAGE STRUCTURE  GRAMMAR AND LANGUAGE USE,Parts of speech,Learning Objective: Learners will identify  name and use different parts of speech correctly in speaking  reading and writing,use common verbs as action words  e.g. run  jump  draw  sing  etc (learning the term ‘verb’ is incidental at this stage),One
English,LANGUAGE STRUCTURE  GRAMMAR AND LANGUAGE USE,Parts of speech,Learning Objective: Learners will identify  name and use different parts of speech correctly in speaking  reading and writing,use simple prepositions  e.g. in under  on  behind  between  etc(learning the term ‘preposition’ isnot necessary at this stage),One
English,LANGUAGE STRUCTURE  GRAMMAR AND LANGUAGE USE,Parts of speech,Learning Objective: Learners will identify  name and use different parts of speech correctly in speaking  reading and writing,use simple adjectives  e.g. thefast car  the long rope  the big ball- use comparison of regularadjectives  e.g. fast/faster/fastest long/longer/longest big/bigger/biggest(learning the term ‘adjective’ is notnecessary at this stage),One
English,LANGUAGE STRUCTURE  GRAMMAR AND LANGUAGE USE,Simple present andsimple past tensesusing regular verbs,Learning Objective: Learners will speak and write correctly using common regular verbs in the simple present and simple past tenses,change regular verbs frompresent to past tense  e.g. to‘walk’I walk to school every dayI walked to school yesterday,One
English,LANGUAGE STRUCTURE  GRAMMAR AND LANGUAGE USE,Simple present andsimple past tensesusing regular verbs,Learning Objective: Learners will speak and write correctly using common regular verbs in the simple present and simple past tenses,change negative forms of regularverbs from present to past tense e.g. to ‘walk’I do not (don’t) walk to schoolevery day I did not (didn’t) walk to school yesterday,One
English,LANGUAGE STRUCTURE  GRAMMAR AND LANGUAGE USE,Simple present andsimple past tensesusing irregular verbs,Learning Objective: Learners will speak and write correctly using common irregular verbs in the simple present and simple past tenses,change irregular verbs frompresent to past tense  e.g. to‘swim’We swim in the oshana every dayYesterday we swam in theoshana e.g. to ‘be’I am (I’m) sad todayYesterday I was sade.g. to ‘go’He goes to the gym on SaturdayYesterday he went to the gym,One
English,LANGUAGE STRUCTURE  GRAMMAR AND LANGUAGE USE,Simple present andsimple past tensesusing irregular verbs,Learning Objective: Learners will speak and write correctly using common irregular verbs in the simple present and simple past tenses,change negative forms of irregularverbs from present to past tense e.g. to ‘swim’ We do not (don’t) swim in theoshana every dayYesterday we did not (didn’t)swim in the oshanae.g. to ‘be’I am (I’m) not sad todayYesterday I was not (wasn’t) sade.g. to ‘go’He does not (doesn’t) go to thegymYesterday he did not (didn’t) go tothe gym,One
English,LANGUAGE STRUCTURE  GRAMMAR AND LANGUAGE USE,Present continuous tense,Learning Objective Learners will speak and write correctly using the present continuous tense (actions that are happening or are not happening now  around now or in the future),use familiar verbs to describewhat is (or isn’t) happening rightnow or around nowe.g. I am reading (now). I am not playing (now),One
English,LANGUAGE STRUCTURE  GRAMMAR AND LANGUAGE USE,Present continuous tense,Learning Objective Learners will speak and write correctly using the present continuous tense (actions that are happening or are not happening now  around now or in the future),use familiar verbs to describe an event in the future  e.g. I am visiting Grandmother next week,One
English,LANGUAGE STRUCTURE  GRAMMAR AND LANGUAGE USE,Future tense,Learning Objectives Learners will speak and write correctly using the future tense,use familiar verbs to describe anevent in the future  e.g.We will see my dad next weekWe will not (won’t) see my dadnext week- talk or write about a ‘daily news’event that is going to happen  e.g.Tomorrow I will (I’ll) ...,One
English,LANGUAGE STRUCTURE  GRAMMAR AND LANGUAGE USE,Sentence construction  conventions and rules,Learning ObjectiveLearners will understand and use knowledge of sentence construction  and accepted conventions and rules whenspeaking and writing,construct simple sentences anduse conjunctions 'and' and ‘or’  e.g. My name is Andreas and Iam a boy. You can eat an apple or abanana.,One
English,LANGUAGE STRUCTURE  GRAMMAR AND LANGUAGE USE,Sentence construction  conventions and rules,Learning ObjectiveLearners will understand and use knowledge of sentence construction  and accepted conventions and rules whenspeaking and writing,apply rules for subject-verbagreement  e.g. I/you/we/theyplay; he/she/it playsThe girl plays; the girls play,One
English,LANGUAGE STRUCTURE  GRAMMAR AND LANGUAGE USE,Sentence construction  conventions and rules,Learning ObjectiveLearners will understand and use knowledge of sentence construction  and accepted conventions and rules whenspeaking and writing,use modals ‘can’ to expressability and ‘may’ to askpermission  e.g. Lucy can play a traditional drum You may leave the classroomnow,One
English,LANGUAGE STRUCTURE  GRAMMAR AND LANGUAGE USE,Sentence construction  conventions and rules,Learning ObjectiveLearners will understand and use knowledge of sentence construction  and accepted conventions and rules whenspeaking and writing,use quantifiers a few  a little many  much- ‘A few’ and ‘a little’ mean ‘some’I have a few cats.I have a little money left.- Use ‘much’ with singular nouns;‘many’ with plural nounsDo you play much soccer?I know many songs.,One
English,LANGUAGE STRUCTURE  GRAMMAR AND LANGUAGE USE,Sentence construction  conventions and rules,Learning ObjectiveLearners will understand and use knowledge of sentence construction  and accepted conventions and rules whenspeaking and writing,use determiners this  these  that those- use ‘this’ and ‘these’ for thingsthat are nearI like this car. I like these shoes.- use ‘that’ and ‘those’ for thingsthat are not nearDo you see that elephant?Those animals are asleep.,One
English,LANGUAGE STRUCTURE  GRAMMAR AND LANGUAGE USE,Word study,Learning Objective Learners will read and write grade-level words correctly using knowledge of word study skills (British spelling),identify simple masculine and feminine words  e.g. boy/girl; man/woman; father/mother  etc,One
English,LANGUAGE STRUCTURE  GRAMMAR AND LANGUAGE USE,Word study,Learning Objective Learners will read and write grade-level words correctly using knowledge of word study skills (British spelling),identify and match simple synonyms and antonyms  e.g. small/little (synonym); big/small (antonym),One
English,LANGUAGE STRUCTURE  GRAMMAR AND LANGUAGE USE,Word study,Learning Objective Learners will read and write grade-level words correctly using knowledge of word study skills (British spelling),form the plural of familiar nouns by adding ‘s’  e.g. - desk (desks)  house (houses)  face (faces)  hand (hands)  leg (legs)  arm (arms),One
English,LANGUAGE STRUCTURE  GRAMMAR AND LANGUAGE USE,Spelling strategies,Learning Objective Learners will spell grade-level words correctly using spelling strategies,use a variety of spellingstrategies:- sound out: use knowledge ofletter/sound relationships(phonics) to take words apart attach sounds to parts of wordsand blend sounds; only the mostobvious sounds might be written  e.g. skl (school)  hed (head),One
English,LANGUAGE STRUCTURE  GRAMMAR AND LANGUAGE USE,Spelling strategies,Learning Objective Learners will spell grade-level words correctly using spelling strategies,segment words into onset andrime and letter combinations,One
English,LANGUAGE STRUCTURE  GRAMMAR AND LANGUAGE USE,Spelling strategies,Learning Objective Learners will spell grade-level words correctly using spelling strategies,trace  copy and make words (withclay etc) to spell new words andsimple high frequency sightwords  e.g. as  on  if  and  the  it is  said  me  you  one,One
English,LANGUAGE STRUCTURE  GRAMMAR AND LANGUAGE USE,Spelling strategies,Learning Objective Learners will spell grade-level words correctly using spelling strategies,visualise what a word looks like:use visual patterns  length ofwords  word shapes and featuresin words  e.g. little words withinbig words (cat)  circle short/longvowels,One
English,LANGUAGE STRUCTURE  GRAMMAR AND LANGUAGE USE,Spelling strategies,Learning Objective Learners will spell grade-level words correctly using spelling strategies,write words in ‘self-made’ picturedictionaries,One
English,LANGUAGE STRUCTURE  GRAMMAR AND LANGUAGE USE,Spelling strategies,Learning Objective Learners will spell grade-level words correctly using spelling strategies,use ‘have-a-go’ pads- refer to word charts and printaround the classroom- ask teachers and other adults forhelp- use a method such as ‘look  say  cover  visualise  write  check’ tolearn words in isolation,One
RME,Religious Education ,BELONGING,Learners will appreciate being cared for as the basis of becoming oneself,recount why they are valued  how others show it to them  how they can show it to others e.g.discuss  draw  and role-play how they are cared for at home and at schoolmime/dramatise biblical passages about caring (the lilies of the field  let the little children come to me...) and healing (Jairus’ daughter); the baby Moses in the reeds: his mother  sister and Pharaoh’s daughter,One
RME,Religious Education ,PHASES OF LIFE,Learners will describe how different communities welcome a new baby,explain why ceremonies are important to welcome a baby  e.g.- discuss how names are chosen for babies in some families- draw or describe a baptism ceremony; repeat the words used for baptism and find out what they mean- discuss why water is used in Christian baptisms give examples of how godparents can help a godchild- compare with other ceremonies,One
RME,Religious Education ,THE SACRED,Learners will understand that a place  or sometimes an object  can have meaning for an individual or group,explain why a place or object is special in a religious sense  e.g.discuss what makes home and school special for themidentify/draw places or objects that have special meaning (a tree  holy book  church  tomb  and why they sacred),One
RME,Religious Education ,FESTIVALS,Learners will understand why Christmas/religious festivals have a special meaning,respond to the Christmas story/religious festivals  e.g.make an Advent calendarlisten to the Advent and Christmas story; draw; dramatise sing Christmas carols andsongs; make Christmas cards; discuss Christmas celebrations in their family or community- compare with other festivals  birthdays and other celebrations in their own lives,One
RME,Religious Education ,SOCIAL VALUES,Learners will appreciate that positive values and actions bind us together,explain why caring is important for everybody  e.g.demonstrate socially accepted ways to give or receive presents; discuss not accepting gifts from strangerspractise formal/informal greetings; hear/retell a story of greetings from a religious tradition- discuss/draw/dramatise how we show care for each other  the sick  disabled and elderly people; how to look after pets and domestic animals; how animals can help people- discuss good causes which need gifts of money  clothes  food  to give to the needy; discuss what the learners can do to help,One
RME,Religious Education ,RELIGION AND THE ENVIRONMENT,Learners will appreciate the natural and the man-made world,explain the differences between man-made and natural features and state simply what they believe about creation e.g.observe the sky in different directions from a view point near the school; describe what they see make a sequence of pictures for the classroom- identify what is man-made and what is not; discuss how the natural world came into being- listen to the biblical creation story and other creation stories and draw illustrations,One
RME,Religious Education ,PERSONAL VALUES,Learners will begin to value inner peace;appreciate that life is a process of change,recount/recall a time when they felt happy and satisfied  e.g.- rest quietly while listening tomusic or a story - discuss/draw situations where they feel happy  when they are quiet or alone- listen to stories about poverty  sickness and death  e.g. Gautama who became the Buddha- retell/dramatise/draw episodes from the stories- discuss turning points in their own lives- talk about/observe the growth of a plant seed or an insect  e.g.- caterpillar  as it changes  and draw the stages of development- talk about the new life which they have seen; how plants and animals die  the difference to our lives when people die- discuss ways of supporting people at a time of mourning- discuss Christian beliefs about eternal life- perform drama or create art work about changes and death,One
RME,Religious Education ,CHILDREN’S RIGHT AND RESPONSIBILITIES,Learners will understand basic children’s rights,explain their basic rights and responsibilities  e.g.- discuss the right to a name; family; nationalities; education; freedom from work,One
RME,Religious Education ,TOPIC OF OWN CHOICE,Learners will share different points of views,express their own views and relate to others’ points of view about the topic  e.g.- choose topics together as relevant for the class,One
PE,Physical Education,MITATIVE ACTIVITIES,Learners will gain awareness of themselves and their bodies,demonstrate imitative activities of animal origin that involve free running  e.g.- Flying birds: free running with flapping elbows/arms,One
PE,Physical Education,MITATIVE ACTIVITIES,Learners will gain awareness of themselves and their bodies,Galloping horses: free running/ galloping with leading knee raised high  using a vigorous arm action,One
PE,Physical Education,MITATIVE ACTIVITIES,Learners will gain awareness of themselves and their bodies,Ostrich running: free running with straight legs  leaning backwards and holding arms at sides  or against chest,One
PE,Physical Education,MITATIVE ACTIVITIES,Learners will gain awareness of themselves and their bodies,Monkey running: free running on all fours  stopping every few metres to scratch under armpit,One
PE,Physical Education,MUSCULAR STRENGTH AND ENDURANCE (free-standing exercise),Learners will experience a wide range of Physical Education activities,demonstrate strengthening imitative activities for the following muscles  e.g.- Foot:Caterpillar walking with toes. Move forward on feet  using toes,One
